➜  CSE221_project git:(master) ✗ build/peak_bandwidth
data received (Bytes), time used (cycles)
4145152, 5736339
4149248, 5740584
4153344, 5743443
4157440, 5746344
4161536, 5749029
4165632, 5753172
4169728, 5755989
4173824, 5758767
4177920, 5761569
4182016, 5765442
4186112, 5768283
main: ***************** RESULT: PEAK_BANDWIDTH *****************
main: iterations = 1
main: min cycles_taken = 5735547
max bandwidth: 1881.16 MB/s
